('35867', ['italian'])
('36829', ['thai'])
('45369', ['mexican'])
('17843', ['southern_us'])
('34607', [])
('45337', [])
('20154', ['mexican'])
('21524', [])
('587', [])
('22278', ['korean'])
('22693', ['mexican'])
('25113', ['italian'])
('23173', ['brazilian'])
('6571', ['chinese'])
('30788', ['italian'])
('25833', [])
('14041', ['italian'])
('4193', ['chinese'])
('25387', ['thai'])
('31816', ['italian'])
('38085', ['vietnamese'])
('18104', ['japanese'])
('36846', ['mexican'])
('19220', ['thai'])
('47438', ['italian'])
('8081', ['mexican'])
('34505', ['chinese'])
('16073', ['indian'])
('38546', ['cajun_creole'])
('33455', ['southern_us'])
('20534', [])
('28890', [])
('1218', ['chinese'])
('26813', ['brazilian'])
('66', ['mexican'])
('8836', ['french'])
('47334', [])
('47048', [])
('7444', ['mexican'])
('4974', [])
('6559', ['korean'])
('14557', ['italian'])
('30007', [])
('28356', ['southern_us'])
('9529', ['italian'])
('46137', ['mexican'])
('28106', ['mexican'])
('45667', ['southern_us'])
('13604', ['mexican'])
('29460', ['italian'])
('14626', ['indian'])
('16563', ['mexican'])
('39978', ['indian'])
('22994', ['french'])
('39464', ['indian'])
('29822', ['italian'])
('47990', ['southern_us'])
('6802', ['italian'])
('11722', ['italian'])
('26546', ['cajun_creole'])
('41481', ['italian'])
('24952', ['french'])
('46662', ['italian'])
('12589', ['jamaican'])
('38206', ['southern_us'])
('18595', ['southern_us'])
('27176', ['southern_us'])
('41988', ['korean'])
('24880', [])
('38977', [])
('15897', ['indian'])
('44452', ['greek'])
('20362', ['greek'])
('7510', [])
('28834', ['italian'])
('46228', ['italian'])
('2648', ['korean'])
('42792', ['french'])
('10647', ['thai'])
('43736', ['southern_us'])
('14174', ['british', 'irish'])
('36811', ['italian'])
('33950', ['italian'])
('32014', ['japanese'])
('2833', ['filipino'])
('45995', ['chinese'])
('20960', ['chinese'])
('38829', ['indian'])
('12887', [])
('15503', ['italian'])
('30682', [])
('19704', ['italian'])
('45830', ['french'])
('30917', ['italian'])
('1014', [])
('46589', ['indian'])
('41203', ['italian'])
('43063', [])
('44116', [])
('11507', ['moroccan'])
('38704', [])
('23341', ['indian'])
('46173', ['indian'])
('39604', ['southern_us', 'cajun_creole'])
('24949', ['chinese'])
('26282', ['moroccan'])
('29526', [])
('42241', ['japanese'])
('15287', ['italian'])
('22886', ['italian'])
('47994', [])
('28', ['southern_us'])
('37815', ['vietnamese'])
('11546', ['italian'])
('27022', ['mexican'])
('29444', [])
('47523', ['southern_us'])
('47824', [])
('15214', ['cajun_creole'])
('7224', [])
('45874', ['chinese'])
('40072', ['french'])
('28425', ['italian'])
('41698', [])
('20732', [])
('24251', ['cajun_creole'])
('3324', ['chinese'])
('8838', ['brazilian'])
('10284', ['mexican'])
('29506', ['thai', 'vietnamese'])
('15889', ['mexican'])
('24821', ['vietnamese'])
('25937', ['chinese'])
('41792', ['mexican'])
('249', ['cajun_creole'])
('19802', ['cajun_creole'])
('2823', ['thai', 'vietnamese'])
('22725', [])
('4450', ['jamaican'])
('1450', ['thai'])
('28362', ['moroccan'])
('35900', ['italian'])
('41793', ['french'])
('585', ['southern_us'])
('8844', [])
('18262', ['mexican'])
('1255', ['mexican'])
('17103', ['indian'])
('4231', [])
('48105', ['cajun_creole'])
('34772', ['british'])
('16912', ['mexican'])
('42299', ['southern_us'])
('9457', ['cajun_creole'])
('1499', [])
('27000', ['cajun_creole'])
('20643', ['italian'])
('6888', ['mexican'])
('11288', [])
('26013', ['chinese'])
('2579', ['indian'])
('45421', ['indian'])
('4815', ['mexican'])
('7201', [])
('11973', [])
('2280', ['southern_us'])
('13811', [])
('13974', ['spanish'])
('34837', ['southern_us'])
('19005', ['southern_us'])
('18023', ['french'])
('5783', ['italian'])
('42571', ['italian'])
('2629', ['mexican'])
('30398', ['brazilian'])
('8227', ['chinese'])
('12111', ['british'])
('39567', [])
('26981', ['thai'])
('14577', ['italian'])
('18543', ['chinese'])
('4162', ['mexican'])
('27205', ['mexican'])
('4855', [])
('15313', ['mexican'])
('36917', ['chinese'])
('27821', [])
('172', ['irish', 'russian'])
('16738', ['italian'])
('20860', ['italian'])
('30471', ['mexican'])
('10843', ['russian'])
('45701', ['italian'])
('16090', ['thai'])
('9698', [])
('49711', [])
('16904', ['chinese'])
('19060', [])
('17354', ['indian'])
('10138', [])
('45732', ['chinese'])
('45475', ['spanish'])
('28888', ['italian'])
('12060', [])
('43815', [])
('39823', ['mexican'])
('24655', ['italian'])
('28743', ['mexican'])
('41911', ['french'])
('8552', ['greek'])
('10093', ['french'])
('13235', ['chinese'])
('35648', ['thai', 'vietnamese'])
('32462', ['british'])
('6651', ['southern_us'])
('26963', ['italian'])
('36714', ['chinese'])
('7324', ['mexican'])
('37769', ['italian'])
('39846', ['italian'])
('48268', ['spanish'])
('41562', [])
('173', ['chinese'])
('24945', [])
('20647', ['italian'])
('13411', ['indian'])
('48006', ['jamaican'])
('43875', ['chinese'])
('18127', ['mexican'])
('5113', ['mexican'])
('38168', ['southern_us'])
('13913', ['cajun_creole'])
('48935', ['italian'])
('3859', ['italian', 'french'])
('38796', ['italian'])
('11018', [])
('6873', ['southern_us'])
('1944', ['italian'])
('19035', ['moroccan'])
('24334', ['mexican'])
('34428', [])
('21414', ['southern_us'])
('24128', ['italian'])
('28440', ['italian'])
('27352', ['french'])
('19680', ['italian'])
('41074', ['moroccan'])
('36594', ['indian'])
('33937', ['filipino'])
('9431', ['cajun_creole'])
('19001', ['mexican'])
('25721', ['mexican'])
('16595', ['filipino'])
('2086', ['southern_us'])
('16525', ['italian'])
('25679', ['italian'])
('34812', ['indian'])
('48012', ['chinese'])
('18688', ['french'])
('32995', ['mexican'])
('4491', ['moroccan'])
('26504', ['irish'])
('35760', ['italian'])
('23188', [])
('29953', ['italian'])
('21800', ['cajun_creole'])
('19844', ['italian'])
('38865', ['mexican'])
('47002', ['chinese'])
('33447', [])
('6947', ['italian'])
('18368', ['greek'])
('22491', ['southern_us'])
('16946', [])
('28576', ['indian'])
('19823', [])
('26983', ['brazilian'])
('47874', [])
('40138', ['greek'])
('39830', ['mexican'])
('20729', ['cajun_creole'])
('12766', [])
('48964', ['chinese'])
('11830', ['japanese'])
('36933', ['chinese'])
('23501', ['mexican'])
('5892', ['italian'])
('45957', [])
('49242', ['mexican'])
('17752', ['japanese'])
('40495', ['indian'])
('8010', ['mexican'])
('38234', [])
('46066', [])
('45341', ['mexican'])
('22866', ['indian'])
('28272', [])
('47055', [])
('19154', ['greek'])
('9576', ['italian'])
('49698', [])
('7246', ['cajun_creole'])
('10158', ['british'])
('6419', ['british'])
('13261', ['italian'])
('2231', ['mexican'])
('34601', [])
('21262', ['italian'])
('14038', ['mexican'])
('22925', ['cajun_creole'])
('35488', ['southern_us'])
('30307', ['indian', 'greek'])
('20035', ['chinese'])
('17492', ['italian'])
('20897', ['british'])
('24957', [])
('37025', ['italian'])
('21389', [])
('46208', [])
('39277', ['southern_us'])
('44794', ['southern_us'])
('34323', [])
('40554', ['southern_us'])
('11435', ['mexican'])
('17182', ['mexican'])
('38840', ['mexican'])
('24614', ['japanese'])
('15927', ['mexican'])
('36264', ['mexican'])
('9257', ['mexican'])
('2701', ['southern_us'])
('16387', [])
('11132', ['italian'])
('1570', [])
('27855', ['indian'])
('31355', ['southern_us'])
('28717', [])
('19585', ['italian'])
('37453', [])
('11046', ['southern_us'])
('41177', ['french'])
('37395', ['italian'])
('25332', ['korean'])
('16937', [])
('49099', ['italian'])
('37035', ['french'])
('33457', ['mexican'])
('21259', [])
('9583', [])
('37481', ['spanish'])
('17515', ['italian'])
('12517', ['southern_us'])
('34733', ['vietnamese'])
('8350', ['southern_us'])
('10245', ['mexican'])
('38905', ['mexican'])
('10733', ['thai'])
('15839', ['italian'])
('21053', ['italian'])
('18378', ['chinese'])
('29466', ['chinese'])
('38161', ['korean'])
('42257', ['chinese'])
('32006', ['southern_us'])
('8344', [])
('256', ['italian'])
('46021', [])
('47258', [])
('33705', ['mexican'])
('16077', ['japanese'])
('8978', ['indian'])
('30904', ['thai'])
('2878', ['french'])
('41564', ['greek'])
('40317', ['southern_us'])
('47315', ['italian'])
('868', ['southern_us'])
('32416', ['mexican'])
('28879', ['irish'])
('42392', ['italian'])
('6750', ['cajun_creole'])
('13508', ['mexican'])
('19551', ['french', 'spanish'])
('7239', ['mexican'])
('19438', ['mexican'])
('13370', ['italian'])
('166', ['mexican'])
('18980', ['cajun_creole'])
('26459', ['korean'])
('41409', ['southern_us'])
('24748', ['mexican'])
('44625', ['italian'])
('16081', [])
('19351', [])
('47710', ['italian'])
('12257', [])
('48300', ['indian'])
('3938', ['mexican'])
('26392', ['thai'])
('16487', ['indian'])
('36457', ['korean'])
('7524', ['chinese'])
('1467', [])
('28526', ['italian'])
('11423', ['italian'])
('9896', [])
('14705', ['indian'])
('20760', ['southern_us'])
('20727', ['italian', 'mexican'])
('10678', ['mexican'])
('36961', ['mexican'])
('30322', ['italian'])
('21397', ['italian'])
('24569', ['mexican'])
('19750', ['brazilian'])
('9988', ['mexican'])
('27748', ['mexican'])
('2052', ['cajun_creole'])
('19759', ['japanese'])
('41323', [])
('5536', ['italian'])
('36612', ['southern_us'])
('41767', ['chinese'])
('14923', ['southern_us'])
('17831', ['mexican'])
('4699', ['mexican'])
('49125', ['italian'])
('16594', ['southern_us'])
('44946', [])
('1451', ['indian'])
('11875', ['moroccan'])
('28909', ['mexican'])
('685', ['french'])
('45948', ['italian'])
('21202', ['italian'])
('45778', ['spanish'])
('48349', [])
('44908', ['mexican'])
('48737', ['greek'])
('19884', ['vietnamese'])
('47682', ['indian'])
('18943', ['italian'])
('34803', [])
('15009', ['italian'])
('22539', ['italian'])
('633', ['indian'])
('12252', ['southern_us'])
('24098', [])
('35051', ['southern_us'])
('19022', ['mexican'])
('16991', ['french'])
('31725', ['chinese'])
('39895', [])
('42035', ['chinese'])
('29192', ['italian'])
('40713', [])
('48793', ['filipino'])
('29004', ['vietnamese'])
('44113', [])
('41091', [])
('47314', ['greek'])
('48873', ['mexican'])
('45136', ['italian'])
('5995', ['mexican'])
('29764', ['mexican'])
('16164', ['indian'])
('7712', ['southern_us'])
('34629', ['southern_us'])
('24651', ['thai'])
('30034', ['chinese'])
('20578', [])
('44840', ['italian'])
('18468', ['chinese'])
('38385', ['southern_us'])
('31745', ['mexican'])
('11989', ['italian'])
('42934', [])
('31659', ['chinese'])
('15728', ['southern_us'])
('21995', [])
('30222', ['moroccan'])
('36511', ['brazilian'])
('32084', ['chinese'])
('13937', ['mexican'])
('39565', ['southern_us'])
('22957', ['southern_us'])
('46458', ['southern_us'])
('34909', ['southern_us'])
('22889', [])
('44144', ['indian'])
('44515', [])
('12159', ['moroccan'])
('40119', ['italian'])
('5996', [])
('12735', ['vietnamese'])
('28077', ['italian'])
('21934', ['italian'])
('17602', ['thai'])
('15349', ['italian'])
('45463', ['italian'])
('40511', ['italian', 'mexican'])
('1948', ['indian'])
('31863', ['southern_us'])
('25577', [])
('18179', ['italian'])
('13782', ['mexican'])
('6413', [])
('14136', [])
('31420', ['indian', 'greek'])
('16266', ['french'])
('29190', ['southern_us'])
('43425', ['thai'])
('5664', ['vietnamese'])
('43265', ['italian'])
('30797', [])
('22037', ['irish'])
('9177', ['italian'])
('42067', ['french'])
('24015', ['italian'])
('34860', ['cajun_creole'])
('11213', ['mexican'])
('8754', [])
('27604', ['italian'])
('32551', ['mexican'])
('21828', ['cajun_creole'])
('34773', ['korean'])
('7482', ['italian'])
('29036', ['indian'])
('12746', ['cajun_creole'])
('24786', ['mexican'])
('40240', ['cajun_creole'])
('43924', ['chinese'])
('20492', ['cajun_creole'])
('46725', ['chinese'])
('2918', [])
('36627', ['irish'])
('15442', ['chinese'])
('8415', ['french'])
('44238', ['cajun_creole'])
('22129', ['french'])
('30940', ['mexican'])
('25578', ['mexican'])
('30862', [])
('33149', ['french'])
('8893', [])
('26841', ['mexican'])
('32344', [])
('48838', ['indian'])
('26543', ['filipino'])
('34980', ['italian'])
('22734', ['southern_us'])
('31082', ['french'])
('47594', ['italian'])
('45656', [])
('29176', ['indian'])
('11576', ['jamaican'])
('1293', [])
('38014', ['indian'])
('48891', [])
('19949', ['mexican'])
('16313', [])
('13533', [])
('1259', ['vietnamese'])
('13306', ['chinese'])
('15777', ['thai'])
('47407', ['italian'])
('4661', [])
('20113', ['italian'])
('21925', ['italian'])
('482', ['indian'])
('37549', ['french'])
('122', ['mexican'])
('46443', ['italian'])
('47310', ['italian'])
('44516', [])
('48554', ['mexican'])
('20446', ['southern_us'])
('18009', [])
('1623', ['italian'])
('41245', ['chinese'])
('27069', ['southern_us'])
('12349', ['mexican'])
('38004', ['mexican'])
('40350', ['mexican'])
('5706', ['indian'])
('25735', ['indian'])
('49299', ['southern_us'])
('42857', ['indian'])
('8440', ['southern_us'])
('11297', ['french'])
('30589', ['thai', 'vietnamese'])
('7853', ['italian'])
('46302', ['indian'])
('42032', ['jamaican'])
('31482', ['indian'])
('14822', ['southern_us'])
('22964', ['thai'])
('5126', [])
('11358', [])
('14867', [])
('11810', [])
('2185', ['filipino'])
('45086', [])
('46404', ['southern_us'])
('10675', ['mexican'])
('30294', [])
('12595', [])
('17542', ['mexican'])
('41509', [])
('47346', ['russian'])
('30626', ['italian'])
('17716', [])
('48147', ['chinese'])
('15950', ['spanish'])
('45914', [])
('35391', ['italian'])
('21399', ['chinese'])
('21936', ['italian'])
('17271', ['mexican'])
('20089', ['southern_us'])
('30464', ['chinese'])
('32254', ['korean'])
('17424', [])
('34470', [])
('21582', ['jamaican'])
('32361', [])
('46696', [])
('35929', ['mexican'])
('27860', ['mexican'])
('45533', ['mexican'])
('36642', ['southern_us'])
('33370', ['japanese'])
('43829', ['cajun_creole'])
('14017', ['moroccan'])
('27652', ['cajun_creole'])
('23937', ['french'])
('31664', ['italian'])
('48376', ['japanese'])
('16815', ['mexican'])
('30019', ['indian'])
('32391', ['mexican'])
('4416', [])
('42384', ['italian'])
('49623', ['french'])
('47378', ['italian'])
('20813', ['irish'])
('34280', [])
('39016', ['mexican'])
('40853', ['indian'])
('10316', ['southern_us'])
('8310', ['mexican'])
('33379', [])
('22659', ['british'])
('36981', ['french'])
('34870', ['indian'])
('13689', ['mexican'])
('2869', [])
('47688', [])
('22656', ['french'])
('43518', [])
('14208', [])
('9166', ['italian'])
('18414', ['filipino'])
('10196', ['southern_us'])
('25351', ['french'])
('25913', ['mexican'])
('41805', [])
('39247', ['japanese'])
('42330', ['chinese'])
('34645', [])
('8395', [])
('25010', ['mexican'])
('30185', ['mexican'])
('16953', ['southern_us'])
('18932', ['mexican'])
('45829', [])
('11788', ['italian'])
('23089', [])
('14333', ['indian'])
('26270', ['chinese'])
('15391', [])
('49114', [])
('48178', ['spanish'])
('38901', ['mexican'])
('10939', ['southern_us'])
('3797', ['thai'])
('49117', ['mexican'])
('5072', ['french'])
('47880', ['korean'])
('7274', ['italian'])
('42841', [])
('47821', ['mexican'])
('27938', ['greek'])
('14759', ['mexican'])
('34641', [])
('31032', ['mexican'])
('30597', [])
('8878', [])
('42219', [])
('47237', ['mexican'])
('47495', ['italian'])
('48742', ['mexican'])
('37511', ['southern_us'])
('1289', ['mexican'])
('41236', ['mexican'])
('46755', ['indian'])
('12169', ['cajun_creole'])
('32639', [])
('13523', ['italian'])
('19601', ['mexican'])
('36782', [])
('48549', ['southern_us'])
('14883', ['italian'])
('31985', ['indian'])
('19247', ['chinese', 'korean'])
('18026', [])
('3209', [])
('12493', ['italian'])
('37262', [])
('44728', ['southern_us', 'brazilian'])
('24256', ['mexican'])
('8799', ['french'])
('28777', ['italian'])
('32705', ['italian'])
('1751', ['southern_us'])
('784', ['southern_us'])
('286', [])
('45665', [])
('4388', ['mexican'])
('11310', ['italian'])
('36661', ['indian', 'moroccan'])
('35629', ['italian'])
('4412', ['korean'])
('16804', ['italian'])
('656', ['mexican'])
('36302', ['british'])
('7028', ['korean'])
('37006', [])
('10458', [])
('10171', ['southern_us'])
('47476', [])
('22031', ['irish'])
('7952', ['brazilian'])
('19666', [])
('14269', [])
('23012', ['indian'])
('6330', [])
('35258', ['italian'])
('27350', [])
('19385', ['french'])
('47554', [])
('17475', ['southern_us'])
('7206', ['indian'])
('31169', ['southern_us'])
('30508', ['chinese'])
('25978', [])
('35105', ['thai'])
('48291', ['vietnamese'])
('564', ['mexican'])
('32376', ['southern_us'])
('30827', ['italian'])
('10543', ['italian'])
('13301', ['southern_us'])
('29791', ['mexican'])
('48146', ['indian'])
('10685', ['mexican'])
('26338', [])
('45895', ['italian'])
('31818', ['indian', 'moroccan'])
('16357', ['italian'])
('46285', ['italian'])
('24335', [])
('21339', ['italian'])
('24236', ['southern_us'])
('7572', ['greek'])
('37598', ['indian'])
('12477', [])
('23059', ['chinese'])
('28430', ['southern_us'])
('44099', ['italian'])
('14851', ['indian'])
('24075', ['thai'])
('45371', ['mexican'])
('10052', [])
('34724', ['southern_us'])
('36249', ['jamaican'])
('8337', ['greek'])
('6477', ['mexican'])
('47644', ['southern_us'])
('34757', ['thai'])
('46510', ['italian'])
('27337', [])
('43792', ['french'])
('35914', ['french'])
('36120', ['southern_us', 'chinese'])
('27427', ['moroccan'])
('6856', ['southern_us'])
('48390', ['greek'])
('22651', [])
('11701', [])
('20373', ['italian', 'french'])
('44474', ['italian'])
('32162', [])
('38821', [])
('4097', ['spanish'])
('44577', ['japanese'])
('30758', ['southern_us'])
('4946', ['korean'])
('18955', ['italian'])
('15112', ['southern_us'])
('2554', ['southern_us'])
('37772', ['italian'])
('18209', ['irish'])
('27020', ['cajun_creole'])
('46515', ['mexican'])
('6149', [])
('28198', ['mexican'])
('27874', [])
('42784', ['southern_us'])
('32889', ['italian'])
('47132', ['italian'])
('9982', [])
('46128', ['southern_us', 'cajun_creole'])
('48884', ['mexican'])
('28754', ['japanese'])
('33534', ['italian'])
('14358', ['mexican'])
('48348', ['chinese'])
('36912', ['mexican'])
('31337', ['japanese'])
('33286', ['thai'])
('30561', [])
('16715', ['french'])
('36588', ['italian'])
('39019', [])
('6512', [])
('28263', ['korean'])
('20071', ['italian'])
('40122', ['chinese'])
('8345', [])
('35576', ['french'])
('9856', ['mexican'])
('46472', ['greek'])
('28557', ['italian'])
('39337', [])
('39671', [])
('12933', ['indian'])
('35968', ['chinese'])
('47164', ['cajun_creole'])
('48030', ['chinese'])
('49157', ['vietnamese'])
('30010', [])
('43016', [])
('32512', ['moroccan'])
('263', ['italian'])
('35066', ['thai'])
('573', ['mexican'])
('22989', ['indian'])
('7365', [])
('41274', ['japanese'])
('20881', ['mexican'])
('21016', [])
('38548', ['greek'])
('39726', [])
('43841', ['french'])
('42239', ['indian'])
('18299', [])
('24435', ['cajun_creole'])
('37606', ['italian'])
('34069', [])
('37723', ['french'])
('36711', ['indian'])
('5268', [])
('44977', ['southern_us'])
('16927', ['british'])
('47650', ['spanish'])
('22716', [])
('49148', ['italian'])
('48511', ['indian'])
('48805', ['chinese'])
('18888', [])
('4798', ['mexican'])
('40237', ['greek'])
('15261', ['indian'])
('48216', ['thai'])
('28741', ['french'])
('37204', ['mexican'])
('3094', ['french'])
('33468', ['chinese'])
('14516', ['italian'])
('57', ['mexican'])
('25472', ['italian'])
('33992', [])
('23913', [])
('4175', ['mexican'])
('22670', [])
('32118', ['chinese'])
('43260', ['chinese'])
('34639', ['brazilian'])
('36886', ['southern_us'])
('28578', ['greek'])
('26692', ['southern_us'])
('31066', [])
('28870', ['indian'])
('41932', ['italian'])
('9606', ['italian'])
('22349', ['italian'])
('1989', [])
('36050', [])
('30880', ['french'])
('40971', ['italian'])
('5386', ['filipino'])
('13871', ['southern_us'])
('11340', ['mexican'])
('10609', ['mexican'])
('20510', [])
('11275', ['mexican'])
('44916', ['italian'])
('47513', ['italian', 'french'])
('13909', ['southern_us'])
('5305', ['cajun_creole'])
('526', [])
('12472', [])
('9071', ['thai'])
('8150', ['southern_us', 'cajun_creole'])
('46752', [])
('37378', ['southern_us'])
('5843', [])
('44059', ['irish'])
('18111', [])
('11476', ['cajun_creole'])
('17576', [])
('7182', ['mexican'])
('24990', ['southern_us'])
('3284', ['italian'])
('18619', ['italian'])
('47479', ['mexican'])
('25914', [])
('44673', ['italian'])
('47064', ['chinese'])
('22982', ['cajun_creole'])
('19367', ['brazilian'])
('11040', [])
('16844', ['mexican'])
('8517', ['italian', 'french'])
('33281', ['greek'])
('46530', ['italian'])
('39699', [])
('39196', ['indian'])
('14353', ['mexican'])
('12167', [])
('15157', ['indian'])
('1231', ['indian'])
('18063', ['mexican'])
('36993', ['mexican'])
('20754', ['indian'])
('46124', [])
('381', ['italian'])
('30580', [])
('18292', ['mexican'])
('14538', ['greek'])
('15548', ['irish'])
('29725', ['mexican'])
('15864', ['italian'])
('37133', ['greek'])
('5053', ['southern_us'])
('4679', ['italian'])
('38170', ['mexican'])
('4190', [])
('29429', ['japanese', 'korean'])
('19788', ['brazilian'])
('42965', ['italian'])
('16457', ['chinese'])
('5649', [])
('35851', ['moroccan'])
('17560', ['southern_us', 'british'])
('17759', ['cajun_creole'])
('47624', ['chinese'])
('49494', ['cajun_creole'])
('48687', ['italian'])
('12967', ['chinese'])
('32247', ['french'])
('9491', ['french'])
('40459', ['vietnamese'])
('39708', ['filipino'])
('36558', ['japanese'])
('39082', ['irish'])
('42167', ['japanese'])
('12857', ['filipino'])
('29173', ['italian'])
('20855', ['spanish'])
('38662', [])
('31282', ['russian'])
('25235', ['indian'])
('45981', ['italian'])
('33274', [])
('4039', ['greek'])
('6960', [])
('6018', ['chinese'])
('5026', ['mexican'])
('10438', [])
('19605', ['mexican'])
('23447', ['cajun_creole'])
('9604', ['thai'])
('41515', ['thai'])
('28573', ['southern_us'])
('12044', ['french'])
('34191', [])
('19206', ['italian'])
('8471', [])
('13377', ['thai'])
('24226', ['italian'])
('26068', [])
('24667', ['mexican'])
('17178', ['mexican'])
('30590', ['italian'])
('37706', [])
('38038', ['chinese'])
('36625', ['moroccan'])
('45127', ['indian'])
('17410', ['mexican'])
('2981', ['italian'])
('46241', [])
('42985', [])
('25544', ['southern_us', 'cajun_creole'])
('85', ['french'])
('37475', ['japanese'])
('35', ['mexican'])
('26921', [])
('26537', ['italian'])
('15652', ['mexican'])
('10319', ['greek'])
('47570', ['mexican'])
('36513', ['japanese'])
('35223', ['greek'])
('33763', [])
('24416', ['thai'])
('1977', [])
('27920', ['southern_us'])
('22089', [])
('3677', ['thai'])
('24716', ['russian'])
('48223', ['irish'])
('20111', [])
('35383', ['brazilian'])
('23119', [])
('26924', [])
('42706', ['southern_us'])
('36740', ['thai'])
('43093', [])
('2421', [])
('42988', [])
('21771', ['mexican'])
('48136', ['mexican'])
('3222', ['italian'])
('37717', ['mexican'])
('44443', ['mexican'])
('23417', ['chinese'])
('44572', ['southern_us'])
('7000', [])
('45100', ['mexican'])
('22124', [])
('36438', [])
('30080', ['italian'])
('32935', ['italian'])
('9361', ['mexican'])
('23106', ['mexican'])
('1053', ['italian'])
('13018', ['indian'])
('1519', ['mexican'])
('26318', ['chinese'])
('9565', ['italian'])
('26651', ['mexican'])
('25077', ['chinese'])
('14384', ['mexican'])
('44159', [])
('26506', ['vietnamese'])
('27300', ['southern_us'])
('5596', [])
('25982', ['southern_us'])
('25292', [])
('34346', ['italian'])
('8235', ['mexican'])
('27623', ['italian'])
('44805', [])
('17784', ['italian'])
('40192', ['chinese'])
('1013', [])
('38369', [])
('28847', [])
('39525', ['moroccan'])
('34495', [])
('25289', ['mexican'])
('30260', ['french'])
('43563', ['italian'])
('34092', ['southern_us'])
('47783', ['mexican'])
('246', ['mexican'])
('12882', [])
('13712', [])
('39506', ['italian'])
('2245', [])
('668', ['jamaican'])
('19538', [])
('20875', ['mexican'])
('22621', ['mexican'])
('11369', ['vietnamese'])
('12543', ['indian'])
('28648', ['cajun_creole'])
('27233', ['thai'])
('4465', [])
('253', ['japanese'])
('30310', ['cajun_creole'])
('4693', ['mexican'])
('30449', ['indian'])
('36914', ['mexican'])
('1843', ['filipino'])
('5908', [])
('1725', [])
('36347', [])
('8272', [])
('3610', [])
('25590', [])
('49174', [])
('48280', [])
('6030', ['mexican'])
('17462', [])
('24709', ['japanese'])
('47711', ['korean'])
('9628', ['indian'])
('4856', ['italian'])
('809', ['italian'])
('15843', ['indian'])
('30938', ['mexican'])
('15255', ['indian'])
('9699', ['thai', 'vietnamese'])
('4501', ['indian'])
('7938', ['southern_us'])
('3580', ['italian'])
('12650', ['chinese'])
('40324', ['chinese'])
('5079', ['italian'])
('9224', [])
('131', ['mexican'])
('38298', ['italian', 'greek'])
('14932', ['southern_us'])
('8585', ['mexican'])
('29207', ['indian'])
('23440', ['moroccan'])
('40093', ['italian'])
('36187', ['italian'])
('36085', ['southern_us'])
('9325', ['italian'])
('8812', ['cajun_creole'])
('1135', ['southern_us'])
('31735', ['mexican'])
('16708', ['mexican'])
('42259', ['thai'])
('3533', ['southern_us'])
('12580', [])
('46846', ['thai'])
('41045', [])
('48095', ['chinese'])
('38894', ['thai'])
('610', ['thai'])
('27960', ['italian'])
('46915', ['cajun_creole'])
('38089', [])
('15419', ['italian'])
('42748', ['indian'])
('14699', ['chinese'])
('13859', [])
('48060', [])
('25728', ['southern_us'])
('48283', [])
('10213', ['japanese'])
('30793', ['mexican'])
('434', ['italian'])
('7359', [])
('44037', ['italian'])
('18431', ['italian'])
('725', ['southern_us'])
('770', ['italian'])
('46697', [])
('25933', [])
('33667', [])
('12024', ['italian'])
('6520', [])
('24364', ['mexican'])
('4093', ['mexican'])
('31035', ['thai'])
('44725', [])
('14205', ['southern_us'])
('45396', [])
('28726', ['filipino'])
('39841', ['italian'])
('7701', ['southern_us'])
('45398', ['italian'])
('4987', [])
('7373', [])
('48796', ['italian'])
('42707', ['southern_us'])
('712', ['thai'])
('49205', ['mexican'])
('23982', ['french'])
('8281', ['mexican'])
('39490', ['italian'])
('18576', ['greek'])
('622', [])
('33120', [])
('36584', ['french'])
('21059', ['italian'])
('33691', ['japanese'])
('29951', ['chinese'])
('13996', ['french'])
('25706', ['italian'])
('45631', ['moroccan'])
('46025', [])
('12357', ['mexican'])
('23410', ['chinese'])
('28036', ['french'])
('21865', ['mexican'])
('43481', ['russian'])
('43213', ['mexican'])
('30423', [])
('3352', ['irish'])
('25348', ['italian'])
('42253', ['cajun_creole'])
('49152', ['mexican'])
('28810', [])
('16533', ['french'])
('19562', ['french'])
('18460', [])
('41138', ['indian'])
('6623', ['southern_us'])
('6479', ['french'])
('31361', [])
('33285', ['french'])
('34136', ['mexican'])
('47093', ['italian'])
('21149', [])
('31739', ['irish'])
('31331', ['japanese'])
('41009', ['indian'])
('1414', ['thai'])
('13571', ['mexican'])
('17225', [])
('9921', [])
('18692', ['chinese'])
('23572', ['greek'])
('46431', [])
('30479', ['greek'])
('7050', ['italian'])
('30484', ['mexican'])
('23696', ['mexican'])
('13341', ['indian'])
('25205', ['french'])
('42297', ['russian'])
('15650', ['italian'])
('40303', ['mexican'])
('31677', ['french'])
('2192', ['mexican'])
('42229', ['southern_us'])
('10745', ['southern_us'])
('8225', [])
('13632', ['italian'])
('23315', ['chinese'])
('8267', [])
('11102', ['french'])
('41136', ['mexican'])
('33496', ['chinese'])
('31874', ['moroccan'])
('35552', ['korean'])
('22895', [])
('15855', [])
('1177', [])
('45138', ['korean'])
('34168', [])
('35746', ['korean'])
('16385', ['french'])
('18607', [])
('18935', ['mexican'])
('15874', ['italian'])
('49579', ['korean'])
('27954', ['french'])
('16846', ['italian'])
('44158', ['chinese'])
('20917', ['indian'])
('7393', ['vietnamese'])
('11811', ['greek'])
('17190', ['cajun_creole'])
('28375', ['southern_us'])
('40931', ['french'])
('24490', ['chinese'])
('34243', ['french'])
